Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
dahua-002,0.0267,2.51188643150958e-05,0.0072,0.000158489319246111,0.0364,0.000501187233627273,0.0126,1.99526231496888e-05,0.0117,1e-05,0.0067,1e-05,0.0264,0.000125892541179417,0.0113,1e-05
dahua-003,0.0163,0.000501187233627273,0.0122,1.99526231496888e-05,0.0037,6.30957344480193e-05,0.0054,1e-05,0.0134,0.000199526231496888,0.0084,1e-05,0.0033,1e-05,0.007,1e-05
deepsea-001,0.0438,0.000501187233627273,0.03,1.58489319246111e-05,0.0104,3.16227766016838e-05,0.0167,1.25892541179417e-05,0.0293,0.000251188643150958,0.0127,1e-05,0.0063,1.58489319246111e-05,0.0125,1e-05
df-001,0.0494,5.01187233627273e-05,0.0286,1e-04,0.0656,0.000501187233627273,0.0405,1e-05,0.0207,1e-05,0.0109,1e-05,0.0389,1e-04,0.0217,1e-05
dsk-000,0.2073,7.94328234724282e-05,0.1862,1e-05,0.1738,0.000398107170553497,0.2074,3.98107170553497e-05,0.1477,2.51188643150958e-05,0.1247,1e-05,0.1024,0.000199526231496888,0.1469,2.51188643150958e-05
einetworks-000,0.0335,0.000501187233627273,0.0277,3.98107170553497e-05,0.0064,7.94328234724282e-05,0.0135,1e-05,0.0225,0.000125892541179417,0.0101,1e-05,0.0037,1e-05,0.0101,1e-05
everai-002,0.0135,0.000501187233627273,0.0121,3.98107170553497e-05,0.0063,3.98107170553497e-05,0.01,1e-05,0.0108,0.000251188643150958,0.0057,1e-05,0.0032,1e-05,0.0074,1e-05
f8-001,0.0351,0.000501187233627273,0.0298,5.01187233627273e-05,0.0136,7.94328234724282e-05,0.0193,1e-05,0.0275,0.000125892541179417,0.0175,1e-05,0.013,1e-05,0.0171,1e-05
facesoft-000,0.0165,0.000501187233627273,0.0116,3.98107170553497e-05,0.0041,2.51188643150958e-05,0.0089,1e-05,0.0108,0.000199526231496888,0.0049,1.25892541179417e-05,0.0022,1e-05,0.0066,1e-05
gorilla-002,0.0622,0.000501187233627273,0.0456,6.30957344480193e-05,0.0271,6.30957344480193e-05,0.0469,1e-05,0.0371,0.000158489319246111,0.0201,2.51188643150958e-05,0.0138,1e-05,0.0295,1e-05
gorilla-003,0.0494,0.000630957344480193,0.0334,5.01187233627273e-05,0.0156,5.01187233627273e-05,0.0302,1e-05,0.0279,1e-04,0.0132,1.25892541179417e-05,0.0062,1e-05,0.0164,1e-05
hik-001,0.0157,0.000398107170553497,0.0134,3.98107170553497e-05,0.0039,0.000158489319246111,0.0079,5.01187233627273e-05,0.0128,0.000158489319246111,0.0062,1.58489319246111e-05,0.0025,1.99526231496888e-05,0.0073,1e-05
id3-004,0.0474,0.000630957344480193,0.0386,3.98107170553497e-05,0.0185,6.30957344480193e-05,0.0286,1e-05,0.0324,0.000125892541179417,0.0163,1e-05,0.0093,1e-05,0.0186,1e-05
idemia-003,0.0383,0.000158489319246111,0.0131,1e-04,0.0581,0.000398107170553497,0.024,1e-05,0.0146,3.16227766016838e-05,0.0063,1.25892541179417e-05,0.0348,6.30957344480193e-05,0.0154,1e-05
